[Mon Aug 12 23:19:13.771684 2019] [php7:warn] [pid 26612] [client 127.0.0.1:55136] PHP Warning:  strlen() expects parameter 1 to be string, array given in /var/www/cdn.tms.lan/styles/resources/get_img.php on line 7
[Mon Aug 12 23:19:53.996956 2019] [php7:warn] [pid 25692] [client 127.0.0.1:55150] PHP Warning:  strlen() expects parameter 1 to be string, array given in /var/www/cdn.tms.lan/styles/resources/get_img.php on line 7
[Mon Aug 12 23:21:55.251029 2019] [php7:warn] [pid 26732] [client 127.0.0.1:55234] PHP Warning:  strlen() expects parameter 1 to be string, array given in /var/www/cdn.tms.lan/styles/resources/get_img.php on line 7, referer: https://www.tms.lan/includes/slideshow.html
[Mon Aug 12 23:23:20.928243 2019] [php7:error] [pid 26800] [client 127.0.0.1:55330] script '/var/www/cdn.tms.lan/styles/resources/get_img.php' not found or unable to stat, referer: https://www.tms.lan/includes/slideshow.html
[Mon Aug 12 23:23:30.335873 2019] [php7:error] [pid 26872] [client 127.0.0.1:55352] script '/var/www/cdn.tms.lan/styles/resources/get_img.php' not found or unable to stat, referer: https://www.tms.lan/includes/slideshow.html
[Sat Sep 28 12:13:07.701577 2019] [core:error] [pid 21076] (13)Permission denied: [client 127.0.0.1:49442] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:13:54.919528 2019] [core:error] [pid 21087] (13)Permission denied: [client 127.0.0.1:49448] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:13:54.996466 2019] [core:error] [pid 21086] (13)Permission denied: [client 127.0.0.1:49446] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:22:42.505903 2019] [core:error] [pid 21079] (13)Permission denied: [client 127.0.0.1:49456] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:22:42.713780 2019] [core:error] [pid 21078] (13)Permission denied: [client 127.0.0.1:49458] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:35:00.253525 2019] [core:error] [pid 653] (13)Permission denied: [client 127.0.0.1:49570] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:35:14.492318 2019] [core:error] [pid 634] (13)Permission denied: [client 127.0.0.1:49576] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:35:16.533634 2019] [core:error] [pid 634] (13)Permission denied: [client 127.0.0.1:49576] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:37:23.307974 2019] [core:error] [pid 709] (13)Permission denied: [client 127.0.0.1:49584] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:37:48.057845 2019] [core:error] [pid 711] (13)Permission denied: [client 127.0.0.1:49590] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:38:04.225451 2019] [core:error] [pid 736] (13)Permission denied: [client 127.0.0.1:49596] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:39:16.296282 2019] [core:error] [pid 741] (13)Permission denied: [client 127.0.0.1:49606] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.devel.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:39:16.335022 2019] [core:error] [pid 739] (13)Permission denied: [client 127.0.0.1:49604] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.devel.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:40:28.670889 2019] [core:error] [pid 743] (13)Permission denied: [client 127.0.0.1:49610] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/rct-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:41:34.334982 2019] [core:error] [pid 738] (13)Permission denied: [client 127.0.0.1:49620] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
[Sat Sep 28 12:41:34.437216 2019] [core:error] [pid 737] (13)Permission denied: [client 127.0.0.1:49618] AH00132: file permissions deny server access: /var/www/cdn.tms.lan/react/react-dom.development.js, referer: http://www.groupd.dsa/static/typo/react/
